AUS;LP_NR;SEITE;TITEL_NR;ART;LPTITEL;TITEL;BAND;DIRIGENT;KOMPONIST;INTERPR1;INTERPR2;INTERPR3;INTERPR4;INTERPR5;INTERPR6;INTERPR7;INTERPR8;INTERPR9;INTERPR10;ANMERKUNG;MUSIKART;JAHR;MIN;NOTE;SEK;WAHL
;  41; 1; 6;LP;BRAVO PRÄSENTIERT              S1;SING ON LOUISE                 S1;SHOWADDYWADDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1975;3;;12;0
;  41; 1; 7;LP;BRAVO PRÄSENTIERT              S1;HEAVENLY                       S1;SHOWADDYWADDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1976;2;;57;0
;  41; 2; 1;LP;BRAVO PRÄSENTIERT              S1;THREE STEPS TO HEAVEN          S1;SHOWADDYWADDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1975;2;;52;0
;  41; 2; 2;LP;BRAVO PRÄSENTIERT              S1;TAKE ME IN YOUR ARMS           S1;SHOWADDYWADDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1976;2;;39;0
;  41; 2; 3;LP;BRAVO PRÄSENTIERT              S1;HEARTBEAT                      S1;SHOWADDYWADDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1976;2;;59;0
;  41; 2; 4;LP;BRAVO PRÄSENTIERT              S1;GO JOHNNY GO                   S1;SHOWADDYWADDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1976;2;;12;0
;  41; 2; 5;LP;BRAVO PRÄSENTIERT              S1;ROCK'N'ROLL LADY               S1;SHOWADDYWADDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;3;;23;0
;  41; 2; 6;LP;BRAVO PRÄSENTIERT              S1;HEY ROCK'N'ROLL                S1;SHOWADDYWADDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;3;;25;0
;  41; 2; 7;LP;BRAVO PRÄSENTIERT              S1;WHEN                           S1;SHOWADDYWADDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1977;2;;52;0
;  42; 1; 1;LP;POMPEII                        S1;THE EARTHQUAKE 62 A.D.         S1;NEW TRIUMVIRAT                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1977;6;;17;0
;  42; 1; 2;LP;POMPEII                        S1;JOURNEY OF A FALLEN ANGEL      S1;NEW TRIUMVIRAT                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1977;6;;13;0
;  42; 1; 3;LP;POMPEII                        S1;VIVA POMPEII                   S1;NEW TRIUMVIRAT                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1977;4;;16;0
;  42; 1; 4;LP;POMPEII                        S1;THE TIME OF YOUR LIFE...(?)    S1;NEW TRIUMVIRAT                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1977;4;;35;0
;  42; 2; 1;LP;POMPEII                        S1;THE RICH MAN AND THE CARPENTER/S1;NEW TRIUMVIRAT                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1977;5;;54;0
;  42; 2; 2;LP;POMPEII                        S1;DANCE ON THE VULCANO           S1;NEW TRIUMVIRAT                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1977;3;;30;0
;  42; 2; 3;LP;POMPEII                        S1;VESUVIUS                       S1;NEW TRIUMVIRAT                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1977;6;;33;0
;  42; 2; 4;LP;POMPEII                        S1;THE HYMN                       S1;NEW TRIUMVIRAT                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1977;7;;9;0
;  43; 1; 1;LP;LED ZEPPELIN                   S1;BLACK DOG                      S1;LED ZEPPELIN                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1971;4;;55;0
;  43; 1; 2;LP;LED ZEPPELIN                   S1;ROCK AND ROLL                  S1;LED ZEPPELIN                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1971;3;;40;0
;  43; 1; 3;LP;LED ZEPPELIN                   S1;THE BATTLE OF EVERMORE         S1;LED ZEPPELIN                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1971;5;;38;0
;  43; 1; 4;LP;LED ZEPPELIN                   S1;STAIRWAY TO HEAVEN             S1;LED ZEPPELIN                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1971;7;;55;0
;  43; 2; 1;LP;LED ZEPPELIN                   S1;MISTY MOUNTAIN HOP             S1;LED ZEPPELIN                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1971;4;;39;0
;  43; 2; 2;LP;LED ZEPPELIN                   S1;FOUR STICKS                    S1;LED ZEPPELIN                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1971;4;;49;0
;  43; 2; 3;LP;LED ZEPPELIN                   S1;GOING TO CALIFORNIA            S1;LED ZEPPELIN                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1971;3;;36;0
;  43; 2; 4;LP;LED ZEPPELIN                   S1;WHEN THE LEVEE BREAKS          S1;LED ZEPPELIN                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1971;7;;8;0
;  44; 1; 1;LP;ANDY KIM'S GREATEST HITS       S1;BE MY BABY                     S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;2;;53;0
;  44; 1; 2;LP;ANDY KIM'S GREATEST HITS       S1;BABY, I LOVE YOU               S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;2;;54;0
;  44; 1; 3;LP;ANDY KIM'S GREATEST HITS       S1;HOW'D WE EVER GET THIS WAY     S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;2;;29;0
;  44; 1; 4;LP;ANDY KIM'S GREATEST HITS       S1;SHOOT'EM UP BABY               S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;2;;52;0
;  44; 1; 5;LP;ANDY KIM'S GREATEST HITS       S1;RAINBOW RIDE                   S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;2;;46;0
;  44; 1; 6;LP;ANDY KIM'S GREATEST HITS       S1;A FRIEND IN THE CITY           S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;3;;10;0
;  44; 2; 1;LP;ANDY KIM'S GREATEST HITS       S1;I BEEN MOVED                   S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;3;;18;0
;  44; 2; 2;LP;ANDY KIM'S GREATEST HITS       S1;SO GOOD TOGETHER               S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;2;;53;0
;  44; 2; 3;LP;ANDY KIM'S GREATEST HITS       S1;I WISH I WERE                  S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;3;;27;0
;  44; 2; 4;LP;ANDY KIM'S GREATEST HITS       S1;IT'S YOUR LIFE                 S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;2;;43;0
;  44; 2; 5;LP;ANDY KIM'S GREATEST HITS       S1;TRICA TELL YOUR DADDY          S1;KIM , ANDY                     S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;1974;3;;0;0
;  45; 1; 1;LP;"U.F.O. 1"                     S1;UNIDENTIFIED FLYING OBJEKT     S1;U.F.O.                         S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1970;2;;47;0
;  45; 1; 2;LP;"U.F.O. 1"                     S1;BOOGIE                         S1;U.F.O.                         S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1970;4;;15;0
;  45; 1; 3;LP;"U.F.O. 1"                     S1;C'MON EVERYBODY                S1;U.F.O.                         S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1970;3;;10;0
;  45; 1; 4;LP;"U.F.O. 1"                     S1;SHAKE IT ABOUT                 S1;U.F.O.                         S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1970;3;;46;0
;  45; 1; 5;LP;"U.F.O. 1"                     S1;(COME AWAY) MELINDA            S1;U.F.O.                         S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1970;4;;49;0
;  45; 2; 1;LP;"U.F.O. 1"                     S1;TIMOTHY                        S1;U.F.O.                         S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1970;3;;28;0
;  45; 2; 2;LP;"U.F.O. 1"                     S1;FOLLOW YOU HOME                S1;U.F.O.                         S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1970;2;;10;0
;  45; 2; 3;LP;"U.F.O. 1"                     S1;TREACLE PEOPLE                 S1;U.F.O.                         S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1970;3;;24;0
;  45; 2; 4;LP;"U.F.O. 1"                     S1;WHO DO YOU LOVE                S1;U.F.O.                         S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1970;7;;48;0
;  45; 2; 5;LP;"U.F.O. 1"                     S1;EVIL                           S1;U.F.O.                         S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1970;3;;27;0
;  46; 1; 1;LP;GONE TO EARTH                  S1;HYMN                           S1;BARCLAY JAMES HARVEST          S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1977;5;;5;0
;  46; 1; 2;LP;GONE TO EARTH                  S1;LOVE IS LIKE A VIOLIN          S1;BARCLAY JAMES HARVEST          S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1977;4;;0;0
;  46; 1; 3;LP;GONE TO EARTH                  S1;FRIEND OF MINE                 S1;BARCLAY JAMES HARVEST          S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1977;3;;33;0
;  46; 1; 4;LP;GONE TO EARTH                  S1;POOR MAN'S MOODY BLUES         S1;BARCLAY JAMES HARVEST          S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1977;6;;57;0
;  46; 2; 1;LP;GONE TO EARTH                  S1;HARD HEARTED WOMAN             S1;BARCLAY JAMES HARVEST          S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1977;4;;29;0
;  46; 2; 2;LP;GONE TO EARTH                  S1;SEA OF TRANQUILITY             S1;BARCLAY JAMES HARVEST          S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1977;4;;3;0
;  46; 2; 3;LP;GONE TO EARTH                  S1;SPIRIT IN THE WATER            S1;BARCLAY JAMES HARVEST          S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1977;4;;48;0
;  46; 2; 4;LP;GONE TO EARTH                  S1;LEPER'S SONG                   S1;BARCLAY JAMES HARVEST          S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1977;3;;24;0
;  46; 2; 5;LP;GONE TO EARTH                  S1;TAKING ME HIGHER               S1;BARCLAY JAMES HARVEST          S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1977;3;;32;0
;  47; 1; 1;LP;HARVEST                        S1;OUT ON THE WEEKEND             S1;YOUNG , NEIL                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1972;0;;0;0
;  47; 1; 2;LP;HARVEST                        S1;HARVEST                        S1;YOUNG , NEIL                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1972;0;;0;0
;  47; 1; 3;LP;HARVEST                        S1;A MAN NEEDS A MAID             S1;YOUNG , NEIL                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1972;0;;0;0
;  47; 1; 4;LP;HARVEST                        S1;HEART OF GOLD                  S1;YOUNG , NEIL                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1972;0;;0;0
;  47; 1; 5;LP;HARVEST                        S1;ARE YOU READY FOR THE COUNTRY  S1;YOUNG , NEIL                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1972;0;;0;0
;  47; 2; 1;LP;HARVEST                        S1;OLD MAN                        S1;YOUNG , NEIL                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1972;0;;0;0
;  47; 2; 2;LP;HARVEST                        S1;THERE'S A WORLD                S1;YOUNG , NEIL                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1972;0;;0;0
;  47; 2; 3;LP;HARVEST                        S1;ALABAMA                        S1;YOUNG , NEIL                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1972;0;;0;0
;  47; 2; 4;LP;HARVEST                        S1;THE NEEDLE AND THE DAMAGE DONE/S1;YOUNG , NEIL                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1972;0;;0;0
;  47; 2; 5;LP;HARVEST                        S1;WORDS                          S1;YOUNG , NEIL                   S1;;;STÄNDER 1;;;;;;;;;;;POP/OLDIE;1972;0;;0;0
;  48; 1; 1;LP;ATTENTION - MANFRED MANN -     S1;FOX ON THE RUN                 S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;43;0
;  48; 1; 2;LP;ATTENTION - MANFRED MANN -     S1;HA! HA! SAID THE CLOWN         S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;25;0
;  48; 1; 3;LP;ATTENTION - MANFRED MANN -     S1;TRAVELLING LADY                S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;5;;48;0
;  48; 1; 4;LP;ATTENTION - MANFRED MANN -     S1;AUTUMM LEAVES                  S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;1;;56;0
;  48; 1; 5;LP;ATTENTION - MANFRED MANN -     S1;MIGHTY QUINN                   S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;51;0
;  48; 1; 6;LP;ATTENTION - MANFRED MANN -     S1;RAGAMUFFIN MAN                 S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;3;;6;0
;  48; 2; 1;LP;ATTENTION - MANFRED MANN -     S1;MY NAME IS JACK                S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;52;0
;  48; 2; 2;LP;ATTENTION - MANFRED MANN -     S1;ONE WAY GLASS                  S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;3;;22;0
;  48; 2; 3;LP;ATTENTION - MANFRED MANN -     S1;JUST LIKE A WOMAN              S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;49;0
;  48; 2; 4;LP;ATTENTION - MANFRED MANN -     S1;SEMI-DETACHED SUBURBAN...      S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;35;0
;  48; 2; 5;LP;ATTENTION - MANFRED MANN -     S1;ONE WAY                        S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;3;;40;0
;  48; 2; 6;LP;ATTENTION - MANFRED MANN -     S1;TROUBLE AND TEA                S1;MANN , MANFRED                 S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;10;0
;  49; 1; 1;LP;BUDDY HOLLY'S GREATEST HITS    S1;PEGGY SUE                      S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;0;;0;0
;  49; 1; 2;LP;BUDDY HOLLY'S GREATEST HITS    S1;TRUE LOVE WAYS                 S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;47;0
;  49; 1; 3;LP;BUDDY HOLLY'S GREATEST HITS    S1;BO DIDDLEY                     S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;0;;0;0
;  49; 1; 4;LP;BUDDY HOLLY'S GREATEST HITS    S1;WHAT TO DO                     S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;1;;52;0
;  49; 1; 5;LP;BUDDY HOLLY'S GREATEST HITS    S1;LEARNING THE GAME              S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;10;0
;  49; 1; 6;LP;BUDDY HOLLY'S GREATEST HITS    S1;IT DOESN'T MATTER ANYMORE      S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;1;0
;  49; 2; 1;LP;BUDDY HOLLY'S GREATEST HITS    S1;THAT'LL BE THE DAY             S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;0;;0;0
;  49; 2; 2;LP;BUDDY HOLLY'S GREATEST HITS    S1;OH, BOY                        S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;0;;0;0
;  49; 2; 3;LP;BUDDY HOLLY'S GREATEST HITS    S1;EARLY IN THE MORNING           S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;5;0
;  49; 2; 4;LP;BUDDY HOLLY'S GREATEST HITS    S1;BROWN EYED HANDSOME MAN        S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;0;;0;0
;  49; 2; 5;LP;BUDDY HOLLY'S GREATEST HITS    S1;EVERYDAY                       S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;0;;0;0
;  49; 2; 6;LP;BUDDY HOLLY'S GREATEST HITS    S1;MAYBE BABY                     S1;HOLLY , BUDDY                  S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;0;;0;0
;  50; 1; 1;LP;THE BEST OF - THE KINKS -      S1;SUNNY AFTERNOON                S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;3;;32;0
;  50; 1; 2;LP;THE BEST OF - THE KINKS -      S1;DANDY                          S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;9;0
;  50; 1; 3;LP;THE BEST OF - THE KINKS -      S1;TIRED OF WAITING FOR YOU       S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;32;0
;  50; 1; 4;LP;THE BEST OF - THE KINKS -      S1;TILL THE END OF THE DAY        S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;19;0
;  50; 1; 5;LP;THE BEST OF - THE KINKS -      S1;SEE MY FRIENDS                 S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;42;0
;  50; 1; 6;LP;THE BEST OF - THE KINKS -      S1;A WELL RESPECTED MAN           S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;41;0
;  50; 1; 7;LP;THE BEST OF - THE KINKS -      S1;DEATH OF A CLOWN               S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;3;;4;0
;  50; 1; 8;LP;THE BEST OF - THE KINKS -      S1;LOLA                           S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;3;;56;0
;  50; 2; 1;LP;THE BEST OF - THE KINKS -      S1;YOU REALLY GOT ME              S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;13;0
;  50; 2; 2;LP;THE BEST OF - THE KINKS -      S1;DEDICATED FOLLOWER OF FASHION  S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;58;0
;  50; 2; 3;LP;THE BEST OF - THE KINKS -      S1;WONDER WHERE MY BABY IS ...    S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;0;0
;  50; 2; 4;LP;THE BEST OF - THE KINKS -      S1;WATERLOO SUNSET                S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;3;;15;0
;  50; 2; 5;LP;THE BEST OF - THE KINKS -      S1;ALL DAY AND ALL OF THE NIGHT   S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;22;0
;  50; 2; 6;LP;THE BEST OF - THE KINKS -      S1;DEAD-END STREET                S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;3;;20;0
;  50; 2; 7;LP;THE BEST OF - THE KINKS -      S1;DAYS                           S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;2;;55;0
;  50; 2; 8;LP;THE BEST OF - THE KINKS -      S1;APEMAN                         S1;KINKS , THE                    S1;;;STÄNDER 1;;;;;;;;;;;OLDIE;0;3;;51;0
;  65; 1; 1;CD;CARPENTERS;RAINY DAYS AND MONDAYS;CARPENTERS;;;;;;;;;;;;;;OLDIE;1971;3;;36;0
;  65; 1; 2;CD;CARPENTERS;SATURDAY;CARPENTERS;;;;;;;;;;;;;;OLDIE;1971;1;;18;0
;  65; 1; 3;CD;CARPENTERS;LET ME BE THE ONE;CARPENTERS;;;;;;;;;;;;;;OLDIE;1971;2;;24;0
;  65; 1; 4;CD;CARPENTERS;(A PLACE TO) HIDEAWAY;CARPENTERS;;;;;;;;;;;;;;OLDIE;1971;3;;39;0
;  65; 1; 5;CD;CARPENTERS;FOR ALL WE KNOW;CARPENTERS;;;;;;;;;;;;;;OLDIE;1971;2;;35;0
;  65; 1; 6;CD;CARPENTERS;SUPERSTAR;CARPENTERS;;;;;;;;;;;;;;OLDIE;1971;3;;49;0
;  65; 1; 7;CD;CARPENTERS;DRUSCILLA PENNY;CARPENTERS;;;;;;;;;;;;;;OLDIE;1971;2;;14;0
;  65; 1; 8;CD;CARPENTERS;ONE LOVE;CARPENTERS;;;;;;;;;;;;;;OLDIE;1971;3;;23;0
;  65; 1; 9;CD;CARPENTERS;BACHARACH/DAVID MEDLEY;CARPENTERS;;;;;;;;;;;;;;OLDIE;1971;5;;25;0
;  65; 1;10;CD;CARPENTERS;SOMETIMES;CARPENTERS;;;;;;;;;;;;;;OLDIE;1971;2;;53;0
;  64; 1; 1;CD;CHRONICLE VOL. 2 - CCR -;WALK ON WATER;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;4;;26;0
;  64; 1; 2;CD;CHRONICLE VOL. 2 - CCR -;SUZIE Q (PART 2);CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;3;;48;0
;  64; 1; 3;CD;CHRONICLE VOL. 2 - CCR -;BORN ON THE BAYOU;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;5;;10;0
;  64; 1; 4;CD;CHRONICLE VOL. 2 - CCR -;GOOD MOLLY MISS MOLLY;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;2;;38;0
;  64; 1; 5;CD;CHRONICLE VOL. 2 - CCR -;TOMBSTONE SHADOW;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;3;;36;0
;  64; 1; 6;CD;CHRONICLE VOL. 2 - CCR -;WROTE A SONG FOR EVERYONE;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;4;;55;0
;  64; 1; 7;CD;CHRONICLE VOL. 2 - CCR -;NIGHT TIME IS THE RIGHT TIME;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;3;;7;0
;  64; 1; 8;CD;CHRONICLE VOL. 2 - CCR -;COTTON FIELDS;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;2;;53;0
;  64; 1; 9;CD;CHRONICLE VOL. 2 - CCR -;IT CAME OUT OF THE SKY;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;2;;58;0
;  64; 1;10;CD;CHRONICLE VOL. 2 - CCR -;DON'T LOOK NOW;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;2;;8;0
;  64; 1;11;CD;CHRONICLE VOL. 2 - CCR -;THE MIDNIGHT SPECIAL;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;4;;10;0
;  64; 1;12;CD;CHRONICLE VOL. 2 - CCR -;BEFORE YOU ACCUSE ME;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;3;;24;0
;  64; 1;13;CD;CHRONICLE VOL. 2 - CCR -;MY BABY LEFT ME;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;2;;17;0
;  64; 1;14;CD;CHRONICLE VOL. 2 - CCR -;PAGAN BABY;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;6;;25;0
;  64; 1;15;CD;CHRONICLE VOL. 2 - CCR -;(WISH I COULD) HIDEAWAY;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;3;;53;0
;  64; 1;16;CD;CHRONICLE VOL. 2 - CCR -;IT'S JUST A TROUGHT;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;3;;45;0
;  64; 1;17;CD;CHRONICLE VOL. 2 - CCR -;MOLINA;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;2;;41;0
;  64; 1;18;CD;CHRONICLE VOL. 2 - CCR -;BORN TO MOVE;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;5;;39;0
;  64; 1;19;CD;CHRONICLE VOL. 2 - CCR -;LOOKIN' FOR A REASON;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;3;;25;0
;  64; 1;20;CD;CHRONICLE VOL. 2 - CCR -;HELLO MARY LOU;CREEDENCE CLEARWATER REVIVAL;;;;;;;;;;;;;;OLDIE;0;2;;11;0
;  66; 1; 1;CD;20 GREATEST HITS -DIANA ROSS-;I WHEN THE LOVELIGHT STARTS....;ROSS , DIANA & THE SUPREMES;;;;;;;;;;;;;;OLDIE;1963;3;;1;0
;  66; 1; 2;CD;20 GREATEST HITS -DIANA ROSS-;WHERE DID OUR LOVE GO;ROSS , DIANA & THE SUPREMES;;;;;;;;;;;;;;OLDIE;1964;2;;30;0
;  66; 1; 3;CD;20 GREATEST HITS -DIANA ROSS-;BABY LOVE;ROSS , DIANA & THE SUPREMES;;;;;;;;;;;;;;OLDIE;1964;2;;34;0
;  66; 1; 4;CD;20 GREATEST HITS -DIANA ROSS-;COME SEE ABOUT ME;ROSS , DIANA & THE SUPREMES;;;;;;;;;;;;;;OLDIE;1964;2;;42;0
;  66; 1; 5;CD;20 GREATEST HITS -DIANA ROSS-;MY WORLD IS EMPTY WITHOUT YOU;ROSS , DIANA & THE SUPREMES;;;;;;;;;;;;;;OLDIE;1965;2;;33;0
;  66; 1; 6;CD;20 GREATEST HITS -DIANA ROSS-;STOP! IN THE NAME OF LOVE;ROSS , DIANA & THE SUPREMES;;;;;;;;;;;;;;OLDIE;1965;2;;51;0
;  66; 1; 7;CD;20 GREATEST HITS -DIANA ROSS-;BACK IN MY ARMS AGAIN;ROSS , DIANA & THE SUPREMES;;;;;;;;;;;;;;OLDIE;1965;2;;51;0
;  66; 1; 8;CD;20 GREATEST HITS -DIANA ROSS-;I HEAR A SYMPHONY;ROSS , DIANA & THE SUPREMES;;;;;;;;;;;;;;OLDIE;1965;2;;42;0
;  66; 1; 9;CD;20 GREATEST HITS -DIANA ROSS-;YOU CAN'T HURRY LOVE;ROSS , DIANA & THE SUPREMES;;;;;;;;;;;;;;OLDIE;1966;2;;45;0
